Nomor,Title
1,Terlukis Indah-Rizky Febian feat Ziva Magnolya
2,Tentang Dirimu-Raisa
3,Bagaimana Kalau Aku Tidak Baik-Baik Saja-Judika
4,Ingkar-Tulus
5,Pesan Terakhir-Lyodra
6,Hadapi Berdua-Tiara Andini
7,Hari Bahagia-Atta Halilintar dan Aurel Hermansyah
8,Sahabat Tak Akan Pergi-Betrand Peto feat Anneth Delliecia
9,Bisa Tanpamu-Andmesh
10,Tenang-Yura Yunita
11,Pemimpinmu-Rizky Billar
12,Mesin Waktu-Budi Doremi
13,Bahagia Bersamamu-Haico
14,Orang Yang Sama-Virgoun
15,Cinta Tanpa Syarat-Anang dan Ashanty
16,Melawan Restu-Mahalini
17,Akhir Tak Bahagia-Miselia
18,Dia Yang Bertahan-FadeBlack
19,Satru-Denny Caknan feat Happy Asmara
20,Cintanya Aku-Tiara Andini
21,Laskar Pelangi-Nidji
22,Sempurna-Andra & The Backbone
23,Cinta Dalam Hati-Ungu
24,Merindukanmu-D’Masiv
25,Ruang Rindu-Letto
26,Kenangan Terindah-Samsons
27,Tak Lekang Oleh Waktu-Kerispatih
28,Mungkin Nanti-Peterpan
29,Aku Jatuh Cinta-Roulette
30,Ku Tak Bisa-Slank
31,Menghujam Jantungku-Tompi
32,Terima Kasih Cinta-Afgan
33,Nuansa Bening-Vidi Aldiano
34,Januari-Glenn Fredly
35,Kesempurnaan Cinta-Rizky Febian
36,Cinta Luar Biasa-Andmesh
37,Takkan Terganti-Marcel Siahaan
38,Once-Dealova
39,Teman Hidup-Tulus
40,Terlalu Lama Sendiri-Kunto Aji
41,Ayat-Ayat Cinta-Rossa
42,Tak Ada Logika –Agnes Monica
43,Jadikan Aku Yang Kedua-Astrid
44,Buktikan-Nindy
45,Serba Salah- Raisa
46,Cinta Pertama (Sunny)-Bunga Citra Lestari
47,Cinta Pertama dan Terakhir-Sherina
48,Untuk Apa-Maudy Ayunda
49,Isyana Sarasvati-Tetap Dalam Jiwa
50,Menangis Semalam-Audy
